geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202026,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1733,8952,0,1,100,8670300,0.01,19.99,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-26,-1,-0.01,-50,0
CH,202027,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1735,8952,0,1,100,8670300,0.02,20.01,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-27,1,0.01,100,0
CH,202028,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1738,8952,0,1,100,8670300,0.03,20.05,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-28,1,0.01,50,0
CH,202029,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1742,8952,0,1,100,8670300,0.05,20.09,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-29,1,0.02,33.3,0
CH,202030,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1747,8952,0,1,100,8670300,0.06,20.15,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-30,1,0.01,25,0
CH,202031,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1752,8952,0,1,100,8670300,0.06,20.21,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-31,0,0,0,0
CH,202032,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1757,8952,0,1,100,8670300,0.06,20.26,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-32,0,0,0,0
CH,202033,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1762,8952,0,1,100,8670300,0.06,20.32,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-33,0,0,0,0
CH,202034,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1767,8952,0,1,100,8670300,0.06,20.38,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-34,0,0,0,0
CH,202035,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1771,8952,0,1,100,8670300,0.05,20.43,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-35,-1,-0.01,-20,0
CH,202036,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1784,8952,0,1,100,8670300,0.15,20.58,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-36,9,0.1,225,0
CH,202037,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1802,8952,0,1,100,8670300,0.21,20.78,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-37,5,0.06,38.5,0
CH,202038,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1817,8952,0,1,100,8670300,0.17,20.96,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-38,-3,-0.04,-16.7,0
CH,202039,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1830,8952,0,1,100,8670300,0.15,21.11,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-39,-2,-0.02,-13.3,0
CH,202040,11,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1841,8952,0,1,100,8670300,0.13,21.23,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-40,-2,-0.02,-15.4,0
CH,202041,19,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1860,8952,0,1,100,8670300,0.22,21.45,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-41,8,0.09,72.7,0
CH,202042,49,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1909,8952,0,1,100,8670300,0.57,22.02,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-42,30,0.35,157.9,0
CH,202043,146,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2055,8952,0,1,100,8670300,1.68,23.7,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-43,97,1.11,198,0
CH,202044,327,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2382,8952,0,1,100,8670300,3.77,27.47,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-44,181,2.09,124,0
CH,202045,559,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2941,8952,0,1,100,8670300,6.45,33.92,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-45,232,2.68,70.9,0
CH,202046,631,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3572,8952,0,1,100,8670300,7.28,41.2,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-46,72,0.83,12.9,0
CH,202047,632,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4204,8952,0,1,100,8670300,7.29,48.49,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-47,1,0.01,0.2,0
CH,202048,623,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4827,8952,0,1,100,8670300,7.19,55.67,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-48,-9,-0.1,-1.4,0
CH,202049,605,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5432,8952,0,1,100,8670300,6.98,62.65,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-49,-18,-0.21,-2.9,0
CH,202050,607,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6039,8952,0,1,100,8670300,7,69.65,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-50,2,0.02,0.3,0
CH,202051,644,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6683,8952,0,1,100,8670300,7.43,77.08,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-51,37,0.43,6.1,0
CH,202052,593,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7276,8952,0,1,100,8670300,6.84,83.92,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-52,-51,-0.59,-7.9,0
CH,202053,549,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7825,8952,0,1,100,8670300,6.33,90.25,COVID19Death,,2022-08-09_06-08-29,isoweek,2020-53,-44,-0.51,-7.4,0
CH,202101,419,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8244,8952,0,1,100,8670300,4.83,95.08,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-01,-130,-1.5,-23.7,0
CH,202102,376,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8620,8952,0,1,100,8670300,4.34,99.42,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-02,-43,-0.49,-10.3,0
CH,202103,332,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8952,8952,0,1,100,8670300,3.83,103.25,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-03,-44,-0.51,-11.7,0
CH,202104,242,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9194,8952,242,1,100,8670300,2.79,106.04,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-04,-90,-1.04,-27.1,0
CH,202105,165,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9359,8952,407,1,100,8670300,1.9,107.94,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-05,-77,-0.89,-31.8,0
CH,202106,129,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9488,8952,536,1,100,8670300,1.49,109.43,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-06,-36,-0.41,-21.8,0
CH,202107,86,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9574,8952,622,1,100,8670300,0.99,110.42,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-07,-43,-0.5,-33.3,0
CH,202108,63,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9637,8952,685,1,100,8670300,0.73,111.15,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-08,-23,-0.26,-26.7,0
CH,202109,64,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9701,8952,749,1,100,8670300,0.74,111.89,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-09,1,0.01,1.6,0
CH,202110,75,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9776,8952,824,1,100,8670300,0.87,112.75,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-10,11,0.13,17.2,0
CH,202111,62,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9838,8952,886,1,100,8670300,0.72,113.47,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-11,-13,-0.15,-17.3,0
CH,202112,60,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9898,8952,946,1,100,8670300,0.69,114.16,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-12,-2,-0.03,-3.2,0
CH,202113,71,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9969,8952,1017,1,100,8670300,0.82,114.98,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-13,11,0.13,18.3,0
CH,202114,63,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10032,8952,1080,1,100,8670300,0.73,115.71,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-14,-8,-0.09,-11.3,0
CH,202115,46,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10078,8952,1126,1,100,8670300,0.53,116.24,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-15,-17,-0.2,-27,0
CH,202116,54,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10132,8952,1180,1,100,8670300,0.62,116.86,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-16,8,0.09,17.4,0
CH,202117,68,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10200,8952,1248,1,100,8670300,0.78,117.64,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-17,14,0.16,25.9,0
CH,202118,41,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10241,8952,1289,1,100,8670300,0.47,118.12,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-18,-27,-0.31,-39.7,0
CH,202119,30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10271,8952,1319,1,100,8670300,0.35,118.46,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-19,-11,-0.12,-26.8,0
CH,202120,33,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10304,8952,1352,1,100,8670300,0.38,118.84,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-20,3,0.03,10,0
CH,202121,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10323,8952,1371,1,100,8670300,0.22,119.06,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-21,-14,-0.16,-42.4,0
CH,202122,24,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10347,8952,1395,1,100,8670300,0.28,119.34,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-22,5,0.06,26.3,0
CH,202123,16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10363,8952,1411,1,100,8670300,0.18,119.52,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-23,-8,-0.1,-33.3,0
CH,202124,12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10375,8952,1423,1,100,8670300,0.14,119.66,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-24,-4,-0.04,-25,0
CH,202125,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10382,8952,1430,1,100,8670300,0.08,119.74,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-25,-5,-0.06,-41.7,0
CH,202126,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10385,8952,1433,1,100,8670300,0.03,119.78,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-26,-4,-0.05,-57.1,0
CH,202127,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10388,8952,1436,1,100,8670300,0.03,119.81,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-27,0,0,0,0
CH,202128,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10390,8952,1438,1,100,8670300,0.02,119.83,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-28,-1,-0.01,-33.3,0
CH,202129,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10395,8952,1443,1,100,8670300,0.06,119.89,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-29,3,0.04,150,0
CH,202130,11,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10406,8952,1454,1,100,8670300,0.13,120.02,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-30,6,0.07,120,0
CH,202131,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10409,8952,1457,1,100,8670300,0.03,120.05,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-31,-8,-0.1,-72.7,0
CH,202132,15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10424,8952,1472,1,100,8670300,0.17,120.23,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-32,12,0.14,400,0
CH,202133,25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10449,8952,1497,1,100,8670300,0.29,120.51,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-33,10,0.12,66.7,0
CH,202134,42,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10491,8952,1539,1,100,8670300,0.48,121,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-34,17,0.19,68,0
CH,202135,53,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10544,8952,1592,1,100,8670300,0.61,121.61,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-35,11,0.13,26.2,0
CH,202136,55,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10599,8952,1647,1,100,8670300,0.63,122.24,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-36,2,0.02,3.8,0
CH,202137,42,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10641,8952,1689,1,100,8670300,0.48,122.73,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-37,-13,-0.15,-23.6,0
CH,202138,42,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10683,8952,1731,1,100,8670300,0.48,123.21,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-38,0,0,0,0
CH,202139,35,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10718,8952,1766,1,100,8670300,0.4,123.62,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-39,-7,-0.08,-16.7,0
CH,202140,31,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10749,8952,1797,1,100,8670300,0.36,123.97,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-40,-4,-0.04,-11.4,0
CH,202141,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,10781,8952,1829,1,100,8670300,0.37,124.34,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-41,1,0.01,3.2,0
CH,202142,33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,10814,8952,1862,1,100,8670300,0.38,124.72,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-42,1,0.01,3.1,0
CH,202143,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,10859,8952,1907,1,100,8670300,0.52,125.24,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-43,12,0.14,36.4,0
CH,202144,34,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,10893,8952,1941,1,100,8670300,0.39,125.64,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-44,-11,-0.13,-24.4,0
CH,202145,61,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,10954,8952,2002,1,100,8670300,0.7,126.34,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-45,27,0.31,79.4,0
CH,202146,80,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11034,8952,2082,1,100,8670300,0.92,127.26,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-46,19,0.22,31.1,0
CH,202147,114,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11148,8952,2196,1,100,8670300,1.31,128.58,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-47,34,0.39,42.5,0
CH,202148,174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11322,8952,2370,1,100,8670300,2.01,130.58,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-48,60,0.7,52.6,0
CH,202149,190,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11512,8952,2560,1,100,8670300,2.19,132.78,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-49,16,0.18,9.2,0
CH,202150,185,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11697,8952,2745,1,100,8670300,2.13,134.91,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-50,-5,-0.06,-2.6,0
CH,202151,146,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,11843,8952,2891,1,100,8670300,1.68,136.59,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-51,-39,-0.45,-21.1,0
CH,202152,132,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,11975,8952,3023,1,100,8670300,1.52,138.12,COVID19Death,,2022-08-09_06-08-29,isoweek,2021-52,-14,-0.16,-9.6,0
CH,202201,102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12077,8952,3125,1,100,8670300,1.18,139.29,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-01,-30,-0.34,-22.7,0
CH,202202,99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12176,8952,3224,1,100,8670300,1.14,140.43,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-02,-3,-0.04,-2.9,0
CH,202203,113,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12289,8952,3337,1,100,8670300,1.3,141.74,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-03,14,0.16,14.1,0
CH,202204,104,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12393,8952,3441,1,100,8670300,1.2,142.94,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-04,-9,-0.1,-8,0
CH,202205,97,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12490,8952,3538,1,100,8670300,1.12,144.05,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-05,-7,-0.08,-6.7,0
CH,202206,101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12591,8952,3639,1,100,8670300,1.16,145.22,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-06,4,0.04,4.1,0
CH,202207,73,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12664,8952,3712,1,100,8670300,0.84,146.06,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-07,-28,-0.32,-27.7,0
CH,202208,85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12749,8952,3797,1,100,8670300,0.98,147.04,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-08,12,0.14,16.4,0
CH,202209,51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12800,8952,3848,1,100,8670300,0.59,147.63,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-09,-34,-0.39,-40,0
CH,202210,66,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12866,8952,3914,1,100,8670300,0.76,148.39,COVID19Death,,2022-08-09_06-08-29,isoweek,2022-10,15,0.17,29.4,0
